month,state,handgun,long_gun,total,population
2019-08,Mississippi,9042,7144,16186,2967297
2019-08,Missouri,18605,14755,33360,5988927
2019-08,Montana,2945,3956,6901,989415
2019-08,Nebraska,91,1600,1691,1826341
2019-08,Nevada,4896,2596,7492,2700551
2019-08,New Hampshire,5168,2744,7912,1316470
2019-08,New Jersey,4061,3341,7402,8791894
2019-08,New Mexico,6932,4000,10932,2059179
2019-08,New York,7995,11563,19558,19378102
2019-08,North Carolina,1724,11474,13198,9535483
2019-08,North Dakota,1656,2792,4448,672591
2019-08,Ohio,22222,12658,34880,11536504
2019-08,Oklahoma,10823,8668,19491,3751351
2019-08,Oregon,13926,9496,23422,3831074
2019-08,Pennsylvania,43559,13314,56873,12702379
2019-08,Rhode Island,954,618,1572,1052567
2019-08,South Carolina,9423,6241,15664,4625364
2019-08,South Dakota,2367,3343,5710,814180
2019-08,Tennessee,25754,14536,40290,6346105
2019-08,Texas,49804,36943,86747,25145561
2019-08,Utah,2976,3002,5978,2763885
2019-08,Vermont,1371,1320,2691,625741
2019-08,Virginia,23429,13458,36887,8001024
2019-08,Washington,13689,7551,21240,6724540
2019-08,West Virginia,5846,4737,10583,1852994
2019-08,Wisconsin,13127,11622,24749,5686986
2019-08,Wyoming,1767,2004,3771,563626
2019-07,Alabama,8711,5851,14562,4779736
2019-07,Arizona,11005,5995,17000,6392017
2019-07,Arkansas,4049,3487,7536,2915918
2019-07,California,30400,20830,51230,37253956
2019-07,Colorado,15550,9601,25151,5029196
2019-07,Connecticut,4235,1403,5638,3574097
2019-07,Delaware,1410,936,2346,897934
2019-07,District of Columbia,105,4,109,601723
2019-07,Florida,43914,13570,57484,18801310
2019-07,Georgia,9663,5261,14924,9687653
2019-07,Idaho,3504,3341,6845,1567582
2019-07,Illinois,15782,6889,22671,12830632
2019-07,Indiana,13982,7568,21550,6483802
2019-07,Iowa,113,1264,1377,3046355
2019-07,Kansas,4255,3203,7458,2853118
2019-07,Kentucky,8059,4658,12717,4339367
2019-07,Louisiana,7646,5110,12756,4533372
2019-07,Maine,2322,2161,4483,1328361
2019-07,Maryland,3082,3162,6244,5773552
2019-07,Massachusetts,3711,1886,5597,6547629
2019-07,Michigan,7396,5571,12967,9883640
2019-07,Minnesota,6938,6575,13513,5303925
2019-07,Mississippi,5769,3476,9245,2967297
2019-07,Missouri,14131,10224,24355,5988927
2019-07,Montana,2615,3045,5660,989415
2019-07,Nebraska,80,1047,1127,1826341
2019-07,Nevada,3852,1891,5743,2700551
2019-07,New Hampshire,3874,1996,5870,1316470
2019-07,New Jersey,4160,2590,6750,8791894
2019-07,New Mexico,5219,3365,8584,2059179
2019-07,New York,7051,8051,15102,19378102
2019-07,North Carolina,1265,7650,8915,9535483
2019-07,North Dakota,1219,1942,3161,672591
2019-07,Ohio,15931,9342,25273,11536504
2019-07,Oklahoma,8752,5997,14749,3751351
2019-07,Oregon,11746,7572,19318,3831074
2019-07,Pennsylvania,33850,10017,43867,12702379
2019-07,Rhode Island,788,479,1267,1052567
2019-07,South Carolina,7274,3667,10941,4625364
2019-07,South Dakota,2057,2214,4271,814180
2019-07,Tennessee,19494,10191,29685,6346105
2019-07,Texas,34215,21520,55735,25145561
2019-07,Utah,2558,2495,5053,2763885
2019-07,Vermont,1005,978,1983,625741
2019-07,Virginia,19139,9731,28870,8001024
2019-07,Washington,12636,5788,18424,6724540
2019-07,West Virginia,4289,3610,7899,1852994
2019-07,Wisconsin,9938,6714,16652,5686986
2019-07,Wyoming,1528,1587,3115,563626
2019-06,Alabama,6947,4521,11468,4779736
2019-06,Arizona,11375,5931,17306,6392017
2019-06,Arkansas,4653,3214,7867,2915918
2019-06,California,38712,27050,65762,37253956
2019-06,Colorado,16013,10215,26228,5029196
2019-06,Connecticut,4296,1449,5745,3574097
2019-06,Delaware,1364,907,2271,897934
2019-06,District of Columbia,113,3,116,601723
2019-06,Florida,44378,13576,57954,18801310
2019-06,Georgia,10549,5425,15974,9687653
2019-06,Idaho,3599,3611,7210,1567582
2019-06,Illinois,17041,7321,24362,12830632
2019-06,Indiana,15272,7963,23235,6483802
2019-06,Iowa,117,1299,1416,3046355
2019-06,Kansas,4133,2981,7114,2853118
2019-06,Kentucky,8520,4608,13128,4339367
2019-06,Louisiana,7874,4613,12487,4533372
2019-06,Maine,2616,2091,4707,1328361
2019-06,Maryland,3097,3377,6474,5773552
2019-06,Massachusetts,4203,1808,6011,6547629
2019-06,Michigan,8445,5628,14073,9883640
2019-06,Minnesota,7316,6337,13653,5303925
2019-06,Mississippi,5883,3303,9186,2967297
2019-06,Missouri,14970,10263,25233,5988927
2019-06,Montana,2644,3130,5774,989415
2019-06,Nebraska,109,1089,1198,1826341
2019-06,Nevada,4117,2066,6183,2700551
2019-06,New Hampshire,4138,2310,6448,1316470
2019-06,New Jersey,4273,2652,6925,8791894
2019-06,New Mexico,5389,3203,8592,2059179
2019-06,New York,7400,9047,16447,19378102
2019-06,North Carolina,1411,7908,9319,9535483
2019-06,North Dakota,1286,1942,3228,672591
2019-06,Ohio,17949,9885,27834,11536504
2019-06,Oklahoma,9630,5819,15449,3751351
2019-06,Oregon,12046,8124,20170,3831074
2019-06,Pennsylvania,36023,10325,46348,12702379
2019-06,Rhode Island,787,499,1286,1052567
2019-06,South Carolina,8236,3834,12070,4625364
2019-06,South Dakota,2162,2237,4399,814180
2019-06,Tennessee,20708,9777,30485,6346105
2019-06,Texas,37592,22608,60200,25145561
2019-06,Utah,2803,2571,5374,2763885
2019-06,Vermont,1116,982,2098,625741
2019-06,Virginia,20006,9518,29524,8001024
2019-06,Washington,28670,18920,47590,6724540
2019-06,West Virginia,4894,3738,8632,1852994
2019-06,Wisconsin,11174,7388,18562,5686986
2019-06,Wyoming,1664,1728,3392,563626
2019-05,Alabama,6448,4041,10489,4779736
2019-05,Arizona,11969,5987,17956,6392017
2019-05,Arkansas,4600,3499,8099,2915918
2019-05,California,36314,24718,61032,37253956
2019-05,Colorado,16653,10619,27272,5029196
2019-05,Connecticut,4655,1622,6277,3574097
2019-05,Delaware,1568,1028,2596,897934
2019-05,District of Columbia,142,4,146,601723
2019-05,Florida,45087,14214,59301,18801310
2019-05,Georgia,10988,5172,16160,9687653
2019-05,Idaho,3738,3728,7466,1567582
2019-05,Illinois,17976,7587,25563,12830632
2019-05,Indiana,15062,8146,23208,6483802
2019-05,Iowa,115,1471,1586,3046355
2019-05,Kansas,4466,3391,7857,2853118
2019-05,Kentucky,7899,4585,12484,4339367
2019-05,Louisiana,8327,5074,13401,4533372
2019-05,Maine,2886,2285,5171,1328361
2019-05,Maryland,3385,3645,7030,5773552
2019-05,Massachusetts,3759,2113,5872,6547629
2019-05,Michigan,9057,5984,15041,9883640
2019-05,Minnesota,8570,7754,16324,5303925
2019-05,Mississippi,6614,3553,10167,2967297
2019-05,Missouri,15869,10448,26317,5988927
2019-05,Montana,2747,3255,6002,989415
2019-05,Nebraska,67,1089,1156,1826341
2019-05,Nevada,4128,2161,6289,2700551
2019-05,New Hampshire,4079,2328,6407,1316470
2019-05,New Jersey,4791,2545,7336,8791894
2019-05,New Mexico,5564,3361,8925,2059179
2019-05,New York,8260,10090,18350,19378102
2019-05,North Carolina,1312,7798,9110,9535483
2019-05,North Dakota,1436,2033,3469,672591
2019-05,Ohio,17577,9758,27335,11536504
2019-05,Oklahoma,9704,6112,15816,3751351
2019-05,Oregon,12305,8465,20770,3831074
2019-05,Pennsylvania,38050,10807,48857,12702379
2019-05,Rhode Island,941,515,1456,1052567
2019-05,South Carolina,8332,3531,11863,4625364
2019-05,South Dakota,2148,2383,4531,814180
2019-05,Tennessee,20921,9885,30806,6346105
2019-05,Texas,38714,23587,62301,25145561
2019-05,Utah,3045,2849,5894,2763885
2019-05,Vermont,1333,1138,2471,625741
2019-05,Virginia,17935,8821,26756,8001024
2019-05,Washington,18141,11217,29358,6724540
2019-05,West Virginia,4787,3700,8487,1852994
2019-05,Wisconsin,11997,8512,20509,5686986
2019-05,Wyoming,1740,1828,3568,563626
2019-04,Alabama,6747,4538,11285,4779736
2019-04,Arizona,12985,6750,19735,6392017
2019-04,Arkansas,4951,4060,9011,2915918
2019-04,California,37484,25895,63379,37253956
2019-04,Colorado,17199,11594,28793,5029196
2019-04,Connecticut,4775,1792,6567,3574097
2019-04,Delaware,1687,1146,2833,897934
2019-04,District of Columbia,122,1,123,601723
2019-04,Florida,48329,15125,63454,18801310
2019-04,Georgia,12049,5798,17847,9687653
2019-04,Idaho,3865,4118,7983,1567582
2019-04,Illinois,21307,8748,30055,12830632
2019-04,Indiana,18528,9718,28246,6483802
2019-04,Iowa,200,1761,1961,3046355
2019-04,Kansas,4737,3858,8595,2853118
2019-04,Kentucky,10133,5989,16122,4339367
2019-04,Louisiana,9196,5330,14526,4533372
2019-04,Maine,3134,2819,5953,1328361
2019-04,Maryland,3759,4478,8237,5773552
2019-04,Massachusetts,3846,2280,6126,6547629
2019-04,Michigan,10368,7277,17645,9883640
2019-04,Minnesota,10655,11570,22225,5303925
2019-04,Mississippi,7199,3936,11135,2967297
2019-04,Missouri,15972,12020,27992,5988927
2019-04,Montana,2815,3704,6519,989415
2019-04,Nebraska,84,1318,1402,1826341
2019-04,Nevada,4502,2535,7037,2700551
2019-04,New Hampshire,4747,2873,7620,1316470
2019-04,New Jersey,4819,2982,7801,8791894
2019-04,New Mexico,5808,3936,9744,2059179
2019-04,New York,8971,12724,21695,19378102
2019-04,North Carolina,1487,8892,10379,9535483
2019-04,North Dakota,1743,2524,4267,672591
2019-04,Ohio,22541,11994,34535,11536504
2019-04,Oklahoma,10608,7199,17807,3751351
2019-04,Oregon,13360,9875,23235,3831074
2019-04,Pennsylvania,42418,12300,54718,12702379
2019-04,Rhode Island,995,742,1737,1052567
2019-04,South Carolina,9362,4050,13412,4625364
2019-04,South Dakota,2360,2870,5230,814180
2019-04,Tennessee,21848,10619,32467,6346105
2019-04,Texas,38994,24009,63003,25145561
2019-04,Utah,3365,3235,6600,2763885
2019-04,Vermont,1518,1485,3003,625741
2019-04,Virginia,20270,10699,30969,8001024
2019-04,Washington,17631,10844,28475,6724540
2019-04,West Virginia,5819,4822,10641,1852994
2019-04,Wisconsin,14617,12535,27152,5686986
2019-04,Wyoming,1888,1906,3794,563626
2019-03,Alabama,9991,6439,16430,4779736
2019-03,Arizona,15993,8497,24490,6392017
2019-03,Arkansas,7948,5821,13769,2915918
2019-03,California,42551,28146,70697,37253956
2019-03,Colorado,22511,13791,36302,5029196
2019-03,Connecticut,6189,2344,8533,3574097
2019-03,Delaware,2407,1377,3784,897934
2019-03,District of Columbia,112,5,117,601723
2019-03,Florida,59615,19429,79044,18801310
2019-03,Georgia,19228,9131,28359,9687653
2019-03,Idaho,5362,5161,10523,1567582
2019-03,Illinois,29438,13143,42581,12830632
2019-03,Indiana,26630,13737,40367,6483802
2019-03,Iowa,204,3014,3218,3046355
